sex,kanji,hiragana,pageid,birth_year,blood_type,height,weight,occupation,education,birth_place,birth_date,nationality
female,相本 久美子,あいもと くみこ,65980,1958,,,,,,,,
female,愛沢 りん,あいざわ りん,317406,1985,,,,,,,,
female,愛禾 みさ,あいか みさ,930476,1976,,,,,,,,
female,相川 恵里,あいかわ えり,1185649,1972,,,,,,,,
female,愛河 姫奈,あいかわ ひめな,1497110,1988,,,,,,,,
female,相田 翔子,あいだ しょうこ,1614887,1970,,,,女優、歌手、タレント,文華女子高等学校卒,{{JPN}}、東京都東村山市別冊宝島2611『80年代アイドルcollection』p.51,{{生年月日と年齢|1970|2|23}},
female,青木 美冴,あおき みさえ,1746170,1960,,,,歌手・女優,堀越高等学校 卒業,{{JPN}}・東京都,{{生年月日と年齢|1960|04|28}},
female,藍谷 莉穂,あいたに りほ,1819649,1993,,,,,,,,
female,葵 わかな,あおい わかな,1880515,1998,,,,,,,,
female,藍田 舞,あいだ まい,2013500,1988,,,,,,,,
female,相川 結,あいかわ ゆう,2081223,1994,,,,,,,,
female,相川 聖奈,あいかわ せいな,2095567,1996,,,,,,,,
female,相多 愛,あいた あい,2172659,1989,,,,,,,,
female,愛川 こずえ,あいかわ こずえ,2259781,1991,,,,,,,,
female,相沢 梨紗,あいざわ りさ,3251540,,,,,,,,,
female,相谷 レイナ,あいたに れいな,3455399,1994,,,,シンガーソングライター,大阪大学人間科学部社会学科卒業,{{JPN}}・奈良県生駒市,{{生年月日と年齢|1994|07|18}},
female,愛宮 歌梨,あいみや かりん,3554812,2001,,,,,,,,
female,緒方 貞子,おがた さだこ,132964,1927,,,,,,,,
female,山本 香苗,やまもと かなえ,568270,1971,,,,,,,,
female,山根 敏子,やまね としこ,615602,1921,,,,,,,,
female,林 美香,はやし みか,640861,1970,,,,,,,,
female,坂東 眞理子,ばんどう まりこ,778026,1946,,,,評論家、元官僚,東京大学文学部,{{JPN}} 富山県,{{生年月日と年齢|1946|08|17}},
female,井上 美代,いのうえ みよ,847842,1936,,,,,,,,
female,杉井 明美,すぎい あけみ,944741,1950,,,,,,,,
female,斎木 尚子,さいき なおこ,1189946,1958,,,,,,,,
female,上野 砂由紀,うえの さゆき,2019997,1974,,,,,,,,
female,田付 辰子,たつけ たつこ,2459260,1899,,,,,,,,
female,井上 華子,いのうえ はなこ,2810693,,,,,ガーデンデザイナー,恵泉女学園園芸短期大学,{{JPN}},,
female,上田 修子,うえだ なおこ,3004594,1971,,,,,,,,
female,志野 光子,しの みつこ,3040213,1963,,,,外交官,一橋大学法学部,愛知県西加茂郡三好町（現・みよし市）,{{生年月日と年齢|1963|7|24}},{{JPN}}
