,depth,drop,pageid,parent_id,sex,sortkeyprefix,title
49,1,False,4616376,4051488,male,ゆうちゆうはあ‎,Category:元NPB選手のYouTuber
51,2,False,4758672,3918821,female,あおきりこうこうのはあちやるゆうちゆうはあ,Category:あおぎり高校のバーチャルYouTuber
52,2,False,4812852,3918821,female,かみつはきすたしおのはあちやるああていすと,Category:KAMITSUBAKI STUDIOのバーチャルアーティスト
53,2,False,4224943,3918821,female,ななしいんくのはあちやるゆうちゆうはあ,Category:ななしいんくのバーチャルYouTuber
54,2,False,4474676,3918821,female,ふいすほつのはあちやるゆうちゆうはあ,Category:ぶいすぽっ! Virtual eSports ProjectのバーチャルYouTuber
55,2,False,3965774,3918821,female,ほろらいふのはあちやるゆうちゆうはあ,Category:ホロライブのバーチャルYouTuber
69,2,False,2771837,3033046,female,ないし,Category:尚侍
87,2,False,420315,4131512,female,みつとないとはあていいしんてれら,Category:ミッドナイト☆パーティーシンデレラ
138,2,False,4194157,215751,female,ゆうちゆうはあ,Category:将棋のYouTuber
193,2,False,3017155,4102361,female,*,Category:アキバ系アイドル
196,2,False,2535041,4102361,female,おかしけい,Category:お菓子系
197,2,False,912499,4102361,female,かこのはろおふろしえくとしよそくしや,Category:過去のハロー!プロジェクト所属者
206,2,False,5022431,3918819,male,ほろすたあすのはあちやるゆうちゆうはあ,Category:ホロスターズのバーチャルYouTuber
209,2,False,4633129,4549280,male,さわきこうたろう,Category:沢木耕太郎
259,2,False,3471400,3572733,male,いなかわしゆんし,Category:稲川淳二
260,2,False,4036919,3572733,male,けきたんひとり,Category:劇団ひとり
261,2,False,3978158,3572733,male,けんとうこはやし,Category:ケンドーコバヤシ
262,2,False,434836,3572733,male,たけしくんたん,Category:たけし軍団
263,2,False,1216634,3572733,male,たもり,Category:タモリ
264,2,False,3459374,3572733,male,はかりすむ,Category:バカリズム
265,2,False,1232040,3572733,male,ひいとたけし,Category:ビートたけし
266,2,False,2635324,3572733,male,ひろみ,Category:ヒロミ
302,3,False,307801,2535041,female,おかしけいあいとる,Category:お菓子系アイドル
303,3,False,843703,2535041,female,おかしけいさつし,Category:お菓子系雑誌
307,3,False,4169034,3854426,female,えいけいひいふおおていえいと,Category:AKB48系のポップ・グループ
309,3,False,5064915,3854426,female,かわいいらほ,Category:KAWAII LAB.のアイドルグループ
311,3,False,5164049,3854426,female,すたあふらねつと,Category:STAR PLANETのアイドルグループ
313,3,False,4179642,3854426,female,とりいむほおと,Category:DreamBoat
314,3,False,4168471,3854426,female,はろおふろしえくと,Category:ハロー!プロジェクトのポップ・グループ
315,3,False,5064918,3854426,female,ひろいんす,Category:HEROINESのアイドルグループ
317,3,False,4136015,3854426,female,ふりいくらほらとりい,Category:FreeK-Laboratory
319,3,False,5083421,3854426,female,らいふふらねつと,Category:LIVE PLANETのアイドルグループ
322,3,False,2337675,3017155,female,ええけえひい48くるうふ,Category:AKB48グループ
323,3,False,3252804,3017155,female,てんはくみいんく,Category:でんぱ組.inc
324,3,False,5009475,3017155,female,にしのこんきすたとおる,Category:虹のコンキスタドール
341,3,False,3986795,3922718,female,ちやらんほらんたん,Category:チャラン・ポ・ランタン
369,3,False,2648513,3227111,female,おせろ,Category:オセロ (お笑いコンビ)
394,3,False,2383644,230937,female,ひいああるたふりゆういちまるはち,Category:BRW108
423,3,False,1270221,197692,female,てれあさえんしえるあい,Category:テレ朝エンジェルアイ
424,3,False,1270191,197692,female,につてれしえにつく,Category:日テレジェニック
425,3,False,1561379,197692,female,にゆうにゆう,Category:Newnew
428,3,False,4332483,197692,female,みすとうすほ,Category:ミス東スポ
429,3,False,1408602,197692,female,みすふらつしゆ,Category:ミスFLASH
