,infobox
44,"{'name': 'NMB48', 'background': 'group', 'img': 'NMB48ロゴ.png', 'img_capt': 'NMB48のロゴマーク（文字版）', 'img_size': '220px', 'origin': '{{JPN}}', 'genre': 'J-POP', 'years_active': '2010年 -', 'label': 'laugh out loud! records（2011年7月 - 2022年11月）ユニバーサルシグマ（2022年11月 - ）', 'production': 'KYORAKU吉本.ホールディングス{{Efn|2019年6月以降は事業者。}}（2010年 - 2016年12月、2019年6月 - ）Showtitle（旧社名）（2016年12月 - 2025年6月30日）N-Rise（2025年7月1日 - ）', 'associated_acts': '秋元康（プロデューサー）剱持嘉一AKB48グループ', 'url': '[http://www.nmb48.com/ NMB48公式サイト]', 'current_members': 'メンバーを参照', 'past_members': '元メンバーを参照'}"
714,"{'name': 'STU48', 'img': '220px', 'img_capt': 'STU48のロゴマーク', 'background': 'group', 'origin': '{{JPN}}', 'genre': 'J-POP', 'years_active': '2017年3月31日 -', 'label': 'You, Be Cool!/KING RECORDS', 'production': 'STU', 'associated_acts': '秋元康AKB48グループ', 'url': '[https://www.stu48.com/ STU48 OFFICIAL WEB SITE]', 'current_members': 'メンバーを参照', 'past_members': '元メンバーを参照'}"
728,"{'embed': 'yes', 'name': '石川 涼楓', 'nationality': '{{JPN}}', 'channel_url': 'UC1KeFkCHLAd-GAaQqIgAlFQ', 'channel_display_name': '石川涼楓チャンネル', 'years_active': '2020年 -', 'subscribers': '4.02万人', 'views': '1,759,932回', 'stats_update': '{{dts|2023-5-18}}'}"
45,"{'name': 'dela', 'landscape': 'yes', 'background': 'group', 'origin': '{{JPN}}・愛知県名古屋市', 'genre': 'J-POP', 'years_active': '2012年 -', 'label': 'miuzic Entertainment', 'production': '名古屋美少女ファクトリー', 'associated_acts': '近藤薫（二代目プロデューサー）中村浩一（初代プロデューサー）', 'url': '[https://www.nbgf.jp/ nbgf.jp]', 'current_members': '山吹萌藤本南松島七葉早川雪乃今田希松浦奈々後藤ひなの滝沢優華森本小鳥山川愛果人見桃歌河村かれん沢田朱音本多もか黒木春菜竹下優里'}"
1266,"{'名前': '早水千紗', '分類': '女流', '棋士番号': '20', '生年月日': '{{生年月日と年齢|1982|7|20}}', 'プロ年度': '{{年月日|year=1996|month=10|day=1}}（{{年数|1982|7|20|1996|10|1}}歳）', '出身地': '東京都目黒区', '所属': '関東', '師匠': '高柳敏夫名誉九段', '段位': '女流三段', '作成日時': '2015年2月12日'}"
135,"{'名前': '安室 奈美恵', '画像': '25th Anniversary Namie Amuro Live.jpg', '画像説明': 'デビュー25周年 沖縄公演にて（2017年9月）', '背景色': 'singer', '別名': '{{hlist-comma|Namie Amuro|namie amuro|NAMIE AMURO}}', '出生': '{{生年月日と年齢|1977|9|20}}', '出身地': '{{JPN}} 沖縄県那覇市首里石嶺町', '学歴': '{{plainlist| * 沖縄県那覇市立城東小学校 * 沖縄県那覇市立石嶺中学校 * 沖縄アクターズスクール }}', 'ジャンル': ""{{hlist-comma|J-POP{{AllMusic |author=AMG Staff |title=Namie Amuro Biography |class=artist |id=namie-amuro-mn0000362954#biography |accessdate=2020-07-18 }}{{cite web |last= Michel |first= Patrick ST. |date= 2018-09-12 |title= Namie Amuro: Celebrating J-pop's first queen |url= https://www.japantimes.co.jp/culture/2018/09/12/music/namie-amuro-celebrating-j-pops-first-queen/ |work= The Japan Times |accessdate= 2024-09-18 |url-status= live |url-access= subscription }}|ダンス・ポップ|R&B{{cite web |和書|title= どんな時も親友のように人々の心に寄り添い勇気と愛をくれた |url= https://realsound.jp/2018/09/post-251361.html |website= Real Sound |publisher= blueprint |date= 2018-09-16 |accessdate= 2024-09-18 }}|ディスコ}}"", '職業': '{{hlist-comma|歌手|ダンサー}}', '担当楽器': 'ボーカル', '活動期間': '1992年 - 2018年[https://www.daily.co.jp/gossip/2017/09/20/0010571839.shtml 安室奈美恵 来年9月16日で引退を発表「長年心に思い、決意」] - デイリースポーツ 2017年9月20日', 'レーベル': '{{Plainlist| * EASTWORLD (1992年 - 1995年) * avex trax (1995年 - 2013年) * Dimension Point (2013年 - 2018年) }}', '配偶者': '{{Marriage|SAM|1997|2002|end=div}}', '事務所': '{{Plainlist| * ライジングプロダクション（1992年 - 2015年） * Dimension Point（2015年） * stella88（2015年 - 2018年） }}', '共同作業者': ""{{Plainlist| * 小室哲哉 * ダラス・オースティン * SUITE CHIC * TIGER * T.Kura & michico * Nao'ymt * Emyli }}""}"
102,"{'channel_direct_url': '@popstepasahi', 'channel_display_name': '朝日奈央', 'years_active': '2014年6月 -', 'genre': 'エンターテインメント', 'subscribers': '14.2万人', 'views': '8,795,657回', 'stats_update': '{{dts|2023-11-26}}'}"
783,"{'名前': '姉御ぉ ゆりか', '本名': '非公開', '生年月日': '非公開', '出身地': '{{JPN}}・東京都', '血液型': 'O型', '最終学歴': '日本大学文理学部', '出身': 'ワタナベコメディスクール1期', '芸風': '漫談、コント', '活動時期': '2005年 - 2014年', '同期': 'HEY!たくちゃん、赤羽奈々瀬（めっちぇん）、チェリーの果実、ハジメ（フォーリンラブ） 他（ワタナベコメディスクール同期生）', '過去の代表番組': 'エンタの天使とんねるずのみなさんのおかげでした・博士と助手〜細かすぎて伝わらないモノマネ選手権〜', '他の活動': '芸能人女子フットサル（chakuchaku J.b）'}"
1324,"{'image': '200px', 'caption': '2016年10月2日', '名前': '高浜愛子', '分類': '女流', '棋士番号': '54', '生年月日': '1984年{{月日|10|02|on}}（{{年数|1984|10|02}}歳）', 'プロ年度': '{{将棋年度|2016|2016年}}{{月日|02|05|on}}（{{年数|1984|10|02|2016|02|05}}歳）〈女流2級〉 -->', '出身地': '大阪府大阪市福島区', '所属': '関東', '師匠': '山本真也', '段位': '女流初段', '作成日時': '2024年4月1日'}"
1179,"{'image': '250px', 'caption': '平成30年11月、人間将棋（姫路市）', '名前': '岩根忍', '分類': '女流', '棋士番号': '32', '生年月日': '{{生年月日と年齢|1981|3|16}}', 'プロ年度': '2004年4月1日（23歳）', '出身地': '大阪府大阪市', '所属': '関東', '師匠': '小林健二九段', '段位': '女流三段', '作成日時': '2016年6月8日'}"
902,"{'名前': 'HARUKAZE', 'リングネーム': 'HARUKAZE加藤 悠はるか 悠梨', '本名': '加藤 悠', 'ニックネーム': 'かとはるはるちゃん', '身長': '154cm', '体重': '50kg', '誕生日': '{{生年月日と年齢|1989|2|5}}', '出身地': '神奈川県横浜市', '所属': 'ガンバレ☆プロレス', 'スポーツ歴': '器械体操', 'トレーナー': '喜入衆風香高橋奈苗グレート☆無茶真琴', 'デビュー': '2011年12月25日対夏樹☆たいよう戦'}"
1199,"{'名前': '伊奈川愛菓', '分類': '女流', '棋士番号': '36', '生年月日': '{{生年月日と年齢|1991|3|29}}', 'プロ年度': '2006年10月1日（{{年数|1991|3|29|2006|10|1}}歳）', '出身地': '千葉県木更津市', '所属': '関東', '師匠': '所司和晴七段', '段位': '女流二段', '作成日時': '2021年4月7日'}"
1168,"{'名前': 'やす{{ruby|子|こ}}', '画像': '280px', 'キャプション': '陸上幕僚長から褒章状を受けたやす子（2025年3月25日）', '本名': '安井 かのん（やすい かのん）', '生年月日': '{{生年月日と年齢|1998|9|2}}', '出身地': '{{JPN}} 山口県宇部市', '血液型': 'A型', '身長': '154 cm', '方言': '標準語、長州方言', '最終学歴': '山口県立宇部中央高等学校', 'コンビ名': '新人類', '相方': '高校時代の友人', '事務所': 'ソニー・ミュージックアーティスツ', '活動時期': '2019年 -', '現在の代表番組': 'ヒルナンデス!', '公式サイト': '[https://www.sma.co.jp/s/sma/artist/624?ima=0000#/news/0 プロフィール]', '受賞歴': '2021年 ぐるナイおもしろ荘2021 第3位'}"
1072,"{'氏名': '塩川 治子', 'ふりがな': 'しおかわ はるこ', '生年月日': '{{生年月日と年齢|1942|12|10}}', '生誕地': '東京都', '国籍': '{{JPN}}', '職業': '作家、歌人', '代表作': '桂ヶ淵物語、北斎の娘、軽井茶話', '活動拠点': '軽井沢町'}"
265,"{'氏名': '佐藤初女', 'ふりがな': 'さとう はつめ', '生年月日': '{{生年月日と年齢|1921|10|3|no}}', '没年月日': '{{死亡年月日と没年齢|1921|10|03|2016|02|01}}', '国籍': '{{JPN}}', '職業': '福祉活動家・教育者。'}"
893,"{'名前': '{{ruby|岡田|おかだ}} {{ruby|直子|なおこ}}', '生年月日': '{{生年月日と年齢|1984|4|30}}', '出身地': '{{JPN}} 岡山県総社市', '血液型': 'B型', '身長': '143 cm', '出身': 'NSC大阪校28期[{{吉本プロフィール|3352}} 公式プロフィール]', 'コンビ名': 'ジェンカ（ - 2008年）', '事務所': '吉本興業', '活動時期': '2005年 -', '同期': '祇園すゑひろがりずラフ次元ななまがり', '現在の代表番組': 'よしもと新喜劇', '過去の代表番組': 'デジ生!バなな調査団ひろしま満点ママ!!', '受賞歴': '第3回 ザ・細かすぎて伝わらないモノマネ 優勝オールザッツ漫才2020 ネタバトル 第3位'}"
1052,"{'name': '伊藤 沙月', 'nationality': '{{JPN}}', 'birth_date': '{{生年月日と年齢|1991|6|21}}', 'birth_place': '宮崎県延岡市', 'height': '165cm', 'sport': '女子', 'weight class': 'バンタム級', 'club': '日章学園高等学校→拓殖大学→自衛隊体育学校', 'medaltemplates': '{{MedalSport | 女子 ボクシング }} {{MedalCompetition | 全日本女子ボクシング選手権大会 }} {{MedalGold | 2009年 | ライトフライ級B }} {{MedalBronze | 2015年 | バンタム級 }} {{MedalSilver | 2016年 | バンタム級 }}'}"
1343,"{'氏名': '紫竹 昭葉', 'ふりがな': 'しちく あきよ', 'image': 'クラブアップル並木.png', '画像説明': '2016年の紫竹昭葉', '生年月日': '1927年3月27日', '生誕地': '北海道帯広市', '没年月日': '{{死亡年月日と没年齢|1927|3|27|2021|5|4}}', '死没地': '北海道帯広市', '死因': '大動脈瘤破裂', '住居': '北海道帯広市', '別名': '紫竹 昭代（本名）紫竹おばあちゃん', '国籍': '{{JPN}}', '出身校': '北海道庁立帯広高等女学校', '活動期間': '1992年 - 2021年', '活動拠点': '北海道帯広市 紫竹ガーデン', '肩書き': '紫竹ガーデン遊華 社長', '配偶者': 'あり（死別）', '受賞': '日本観光協会 花の観光地づくり大賞（2005年）園芸文化協会 園芸文化賞（2015年）北海道150年特別功労賞（2018年）'}"
1358,"{'headercolor': 'Red', 'name': '福田恭巳', 'image': 'profile', 'imagesize': '130px', 'caption': 'Yukimi Fukuda', 'fullname': '福田恭巳', 'nickname': 'YUKIMI', 'nationality': 'JAPAN', 'birth_date': '{{birth date and age|1992|04|12}}', 'height': '162cm', 'weight': '45kg', 'website': '[https://ameblo.jp/ganba143/ ふくだゆきみのスラックライフ]', 'country': '{{flagcountry|JPN}}', 'sport': 'スラックライン', 'team': 'GIBBON SLACKLINES International', 'highestranking': 'WSFED women 1st', 'medaltemplates': '{{MedalSport|スラックライン}} {{MedalCountry|{{JPN}}}} {{MedalCompetition|日本オープンスラックライン選手権}} {{MedalGold|浅草ROCKS2011|Open Woman}} {{MedalGold|二子玉川RISE2012|Open Woman}} {{MedalGold|二子玉川RISE2013|Open Woman}} {{MedalGold|二子玉川RISE2014|Open Woman}} {{MedalGold|二子玉川RISE2015|Open Woman}} {{MedalSilver|豊洲BUDDY2010|Open Woman}} {{MedalCompetition|GIBBON CUP}} {{MedalGold|愛知@碧南2012|Open Woman}} {{MedalGold|東京@二子玉川2013|Open Woman}} {{MedalGold|愛知@碧南2013|Open Woman}} {{MedalGold|東京@二子玉川2014|Open Woman}} {{MedalGold|長野@小布施2014|Open Woman}} {{MedalGold|東京@二子玉川2015|Open Woman}} {{MedalGold|高知@四万十2015|Open Woman}} {{MedalGold|山梨@南アルプス2015|Open Woman}} {{MedalSilver|長野@小布施2015|Open Woman}} {{MedalSilver|東京@二子玉川2016|Open Woman}}'}"
210,"{'name': '今井 信子', 'img': 'FolleJournée2009 NobukoImai.jpg', 'background': 'classic', 'born': '{{生年月日|1943|3|18}}', 'school_background': '桐朋学園大学', 'origin': '{{JPN}}東京都', 'instrument': 'ヴィオラ', 'genre': 'クラシック音楽', 'occupation': 'ヴィオリスト', 'url': '[https://www.universal-music.co.jp/imai-nobuko/ 今井信子] - ユニバーサルミュージック (日本)'}"
1203,"{'image': '150px', '名前': '藤田綾', '分類': '女流', '棋士番号': '23', '生年月日': '{{生年月日と年齢|1987|3|24}}', 'プロ年度': '{{年月日|year=1998|month=10|day=1}}（{{年数|1987|3|24|1998|10|1}}歳）', '出身地': '東京都大田区', '所属': '関東', '師匠': '西村一義九段', '段位': '女流二段', '作成日時': '2015年2月12日'}"
469,"{'氏名': '藤田たき', '画像': 'Fujita Taki.JPG', '画像サイズ': '180px', '画像説明': '{{small|『アサヒグラフ』1947年11月26日号}}', '生年月日': '1898年12月23日', '生誕地': '愛知県名古屋市橦木町（後の東区）', '没年月日': '{{死亡年月日と没年齢|1898|12|23|1993|1|4}}', '国籍': '{{JPN}}', '職業': '婦人運動家、教育者', '出身校': '女子英学塾ブリンマー大学', '肩書き': '津田塾大学学長労働省婦人少年局長新日本婦人同盟会長'}"
427,"{'氏名': '仲村 俊子', 'ふりがな': 'なかむら としこ', '生年月日': '{{Birth year and age|1922}}', '生誕地': '{{JPN}} 沖縄県うるま市勝連', '没年月日': '２０２２年11月１８日没', '死没地': '沖縄県那覇市', '国籍': '{{JPN}}', '職業': '元小学校教員'}"
1242,"{'氏名': '坂本 フジヱ', 'ふりがな': 'さかもと ふじえ', '生年月日': '{{生年月日と年齢|1924|1|13|no}}', '生誕地': '{{JPN}} 和歌山県日高郡清川村', '没年月日': '{{死亡年月日と没年齢|1924|1|13|2021|2|12}}', '職業': '助産師', '住居': '和歌山県田辺市（2020年時点）{{Cite web|和書|url=http://210.232.61.82/hisho/files/tanabeshi_bunkashou50th.pdf |title=田辺市文化賞五十年|accessdate=2020-07-10|date=2020-03|format=PDF|publisher=田辺市|pages=114-115}}'}"
