depth,pageid,parent,title
0,4362990,3248378,Category:日本の女性 (職業別と世紀別)
0,4102361,3248378,Category:日本の女性アイドル
0,3832674,3248378,Category:日本の女性医師
0,3510778,3248378,Category:日本の女性音楽家
0,4484229,3248378,Category:日本の女性ガーデナー
0,3614549,3248378,Category:日本の女性外交官
0,4370107,3248378,Category:日本の女性学者
0,4219282,3248378,Category:日本の女性活動家
0,4487488,3248378,Category:日本の女性官僚
0,4538445,3248378,Category:日本の女性キュレーター
0,4054309,3248378,Category:日本の女性教育者
0,4271120,3248378,Category:日本の女性軍人
0,2832939,3248378,Category:芸妓
0,4518030,3248378,Category:日本の女性検察官
0,4721949,3248378,Category:女流講談師
0,3572734,3248378,Category:日本の女性コメディアン
0,4575396,3248378,Category:日本の女性裁判官
0,3572748,3248378,Category:日本の女性作家
0,3410786,3248378,Category:日本の女性サッカー指導者
0,3473877,3248378,Category:女性自衛官
0,4282014,3248378,Category:日本の女性実業家
0,4510967,3248378,Category:日本の女性社会起業家
0,2161939,3248378,Category:日本の助産師
0,3397597,3248378,Category:日本の女優
0,215751,3248378,Category:将棋の女流棋士
0,2447798,3248378,Category:日本の女子スポーツ選手
0,3243349,3248378,Category:日本の女性政治家
0,4484230,3248378,Category:日本の女性造園家
0,4131512,3248378,Category:日本の女性タレント
0,3912550,3248378,Category:日本の女性著作家
0,3995528,3248378,Category:日本の尼僧
0,3033046,3248378,Category:日本の女官
0,3849768,3248378,Category:日本の女性パイロット
0,4157155,3248378,Category:女性都道府県副知事
0,3583692,3248378,Category:日本の女性弁護士
0,4362501,3248378,Category:日本の女性編集者
0,2436805,3248378,Category:巫女
0,1486251,3248378,Category:日本の女性モデル
0,2660086,3248378,Category:江戸時代の遊女
0,3918821,3248378,Category:日本の女性YouTuber
0,3286406,3248378,Category:日本の女流落語家
1,4758672,3918821,Category:あおぎり高校のバーチャルYouTuber
1,4812852,3918821,Category:KAMITSUBAKI STUDIOのバーチャルアーティスト
1,4224943,3918821,Category:ななしいんくのバーチャルYouTuber
1,4474676,3918821,Category:ぶいすぽっ! Virtual eSports ProjectのバーチャルYouTuber
1,3965774,3918821,Category:ホロライブのバーチャルYouTuber
1,2949186,2660086,Category:島原太夫
1,1486262,1486251,Category:日本の女性アダルトモデル
1,3526999,1486251,Category:日本のグラビアモデル
1,3795584,1486251,Category:女性向けファッション雑誌のモデル
1,1486221,1486251,Category:日本の女性ファッションモデル
1,4486551,2436805,Category:出雲阿国
1,1174462,2436805,Category:架空の巫女
1,2771847,3033046,Category:奈良時代の女官
1,2771844,3033046,Category:平安時代の女官
1,2771885,3033046,Category:鎌倉時代の女官
1,3982881,3033046,Category:南北朝時代の女官
1,2790825,3033046,Category:江戸時代の女官
1,5112846,3033046,Category:近代日本の女官
1,5112867,3033046,Category:現代日本の女官
1,2771837,3033046,Category:尚侍
1,3982884,3033046,Category:女房名
1,4483925,3995528,Category:日本の尼僧 (世紀別)
1,3929672,3912550,Category:日本の女性著作家 (世紀別)
1,4006334,3912550,Category:日本の女性絵本作家
1,4481662,3912550,Category:日本の女性脚本家
1,4481657,3912550,Category:日本の女性劇作家
1,4006335,3912550,Category:日本の女性作詞家
1,3838583,3912550,Category:日本の女性詩人
1,4006331,3912550,Category:日本の女性児童文学作家
1,3572743,3912550,Category:日本の女性小説家
