depth,pageid,parent,title
0,4076252,4051488,Category:日本の男性アイドル
0,3510070,4051488,Category:日本の男性歌手
0,3572733,4051488,Category:日本の男性コメディアン
0,3572746,4051488,Category:日本の男性作家
0,2427504,4051488,Category:日本の男子スポーツ選手
0,3513464,4051488,Category:日本の男性ダンサー
0,3582970,4051488,Category:日本の男優
0,4549280,4051488,Category:日本の男性著作家
0,1486137,4051488,Category:日本の男性モデル
0,4616376,4051488,Category:元NPB選手のYouTuber
0,3918819,4051488,Category:日本の男性YouTuber
1,5022431,3918819,Category:ホロスターズのバーチャルYouTuber
1,1486165,1486137,Category:日本の男性ファッションモデル
1,4549273,4549280,Category:日本の男性絵本作家
1,3793349,4549280,Category:日本の男性ジャーナリスト
1,5003637,3582970,Category:日本の男優 (世紀別)
1,5003691,3582970,Category:日本の男性子役
1,4105301,3582970,Category:ウルトラシリーズ主演俳優
1,523656,3582970,Category:日本のAV男優
1,166487,3582970,Category:歌舞伎役者
1,4104839,3582970,Category:仮面ライダーシリーズ主演俳優
1,4848468,3582970,Category:スーパー戦隊シリーズ主演俳優
1,676998,3582970,Category:日本の男性声優
1,1197221,3582970,Category:日活ロマンポルノの男優
1,4276151,2427504,Category:日本の男子アーチェリー選手
1,4875136,2427504,Category:日本の男子アイスホッケー選手
1,4094459,2427504,Category:日本の男子アルペンスキー選手
1,892490,2427504,Category:日本出身の大相撲力士
1,4114705,2427504,Category:日本の男子カーリング選手
1,2450326,2427504,Category:日本の男子空手家
1,3853397,2427504,Category:日本の男子競泳選手
1,2450333,2427504,Category:日本の男子ゴルファー
1,3932426,2427504,Category:日本の男子自転車選手
1,2450325,2427504,Category:日本の男子柔道家
1,4394434,2427504,Category:日本の男子ショートトラックスピードスケート選手
1,3084629,2427504,Category:日本の男子シングルスケーティング選手
1,3974570,2427504,Category:日本の男子水球選手
1,5013631,2427504,Category:日本の男子スカッシュ選手
1,4073131,2427504,Category:日本の男子スピードスケート選手
1,4183632,2427504,Category:日本の男子セーリング選手
1,4822038,2427504,Category:日本の男子ソフトテニス選手
1,3934783,2427504,Category:日本の男子ソフトボール選手
1,3951153,2427504,Category:日本の男子体操競技選手
1,3946016,2427504,Category:日本の男子卓球選手
1,4116557,2427504,Category:日本の男子テコンドー選手
1,3816845,2427504,Category:日本の男子テニス選手
1,4117108,2427504,Category:日本の男子飛込競技選手
1,4119615,2427504,Category:日本の男子トライアスロン選手
1,1980330,2427504,Category:日本の男子バスケットボール選手
1,4066570,2427504,Category:日本の男子バドミントン選手
1,1977759,2427504,Category:日本の男子バレーボール選手
