depth,pageid,parent,title,sex
1,4362990,3248378,Category:日本の女性 (職業別と世紀別),female
1,4102361,3248378,Category:日本の女性アイドル,female
1,3832674,3248378,Category:日本の女性医師,female
1,3510778,3248378,Category:日本の女性音楽家,female
1,4484229,3248378,Category:日本の女性ガーデナー,female
1,3614549,3248378,Category:日本の女性外交官,female
1,4370107,3248378,Category:日本の女性学者,female
1,4219282,3248378,Category:日本の女性活動家,female
1,4487488,3248378,Category:日本の女性官僚,female
1,4538445,3248378,Category:日本の女性キュレーター,female
1,4054309,3248378,Category:日本の女性教育者,female
1,4271120,3248378,Category:日本の女性軍人,female
1,2832939,3248378,Category:芸妓,female
1,4518030,3248378,Category:日本の女性検察官,female
1,4721949,3248378,Category:女流講談師,female
1,3572734,3248378,Category:日本の女性コメディアン,female
1,4575396,3248378,Category:日本の女性裁判官,female
1,3572748,3248378,Category:日本の女性作家,female
1,3410786,3248378,Category:日本の女性サッカー指導者,female
1,3473877,3248378,Category:女性自衛官,female
1,4282014,3248378,Category:日本の女性実業家,female
1,4510967,3248378,Category:日本の女性社会起業家,female
1,2161939,3248378,Category:日本の助産師,female
1,3397597,3248378,Category:日本の女優,female
1,215751,3248378,Category:将棋の女流棋士,female
1,2447798,3248378,Category:日本の女子スポーツ選手,female
1,3243349,3248378,Category:日本の女性政治家,female
1,4484230,3248378,Category:日本の女性造園家,female
1,4131512,3248378,Category:日本の女性タレント,female
1,3912550,3248378,Category:日本の女性著作家,female
1,3995528,3248378,Category:日本の尼僧,female
1,3033046,3248378,Category:日本の女官,female
1,3849768,3248378,Category:日本の女性パイロット,female
1,4157155,3248378,Category:女性都道府県副知事,female
1,3583692,3248378,Category:日本の女性弁護士,female
1,4362501,3248378,Category:日本の女性編集者,female
1,2436805,3248378,Category:巫女,female
1,1486251,3248378,Category:日本の女性モデル,female
1,2660086,3248378,Category:江戸時代の遊女,female
1,3918821,3248378,Category:日本の女性YouTuber,female
1,3286406,3248378,Category:日本の女流落語家,female
2,4758672,3918821,Category:あおぎり高校のバーチャルYouTuber,female
2,4812852,3918821,Category:KAMITSUBAKI STUDIOのバーチャルアーティスト,female
2,4224943,3918821,Category:ななしいんくのバーチャルYouTuber,female
2,4474676,3918821,Category:ぶいすぽっ! Virtual eSports ProjectのバーチャルYouTuber,female
2,3965774,3918821,Category:ホロライブのバーチャルYouTuber,female
2,2949186,2660086,Category:島原太夫,female
2,1486262,1486251,Category:日本の女性アダルトモデル,female
2,3526999,1486251,Category:日本のグラビアモデル,female
2,3795584,1486251,Category:女性向けファッション雑誌のモデル,female
2,1486221,1486251,Category:日本の女性ファッションモデル,female
2,4486551,2436805,Category:出雲阿国,female
2,1174462,2436805,Category:架空の巫女,female
2,2771847,3033046,Category:奈良時代の女官,female
2,2771844,3033046,Category:平安時代の女官,female
2,2771885,3033046,Category:鎌倉時代の女官,female
2,3982881,3033046,Category:南北朝時代の女官,female
2,2790825,3033046,Category:江戸時代の女官,female
2,5112846,3033046,Category:近代日本の女官,female
2,5112867,3033046,Category:現代日本の女官,female
2,2771837,3033046,Category:尚侍,female
2,3982884,3033046,Category:女房名,female
2,4483925,3995528,Category:日本の尼僧 (世紀別),female
2,3929672,3912550,Category:日本の女性著作家 (世紀別),female
